"Orthogroup","go_id"
"OG0000018","GO:0005200"
"OG0000018","GO:0005882"
"OG0000018","GO:0007010"
"OG0000011","GO:0004252"
"OG0000011","GO:0006508"
"OG0000039","GO:0000786"
"OG0000039","GO:0046982"
"OG0000039","GO:0003677"
"OG0000039","GO:0005634"
"OG0000039","GO:0005694"
"OG0000039","GO:0030527"
"OG0000039","GO:0006352"
"OG0000193","GO:0016020"
"OG0000118","GO:0046872"
"OG0000118","GO:0070013"
"OG0000191","GO:0005737"
"OG0000191","GO:0019900"
"OG0000191","GO:0032088"
"OG0000191","GO:0034122"
"OG0000193","GO:0005886"
"OG0000193","GO:0007156"
"OG0000193","GO:0007155"
"OG0000193","GO:0005509"
"OG0000325","GO:0006468"
"OG0000325","GO:0004672"
"OG0000325","GO:0005524"
