V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29
OG0000007	GO:0003677	GO:0000786	GO:0046982	GO:0030527	GO:0005634	GO:0005694	GO:0003684	GO:0019899	GO:0042393	GO:0000077	GO:0000724	GO:0006281	GO:0006974	GO:0007283	GO:0000781	GO:0000785	GO:0000794	GO:0001673	GO:0005654	GO:0005657	GO:0005813	GO:0016607	GO:0035861	GO:0090734	GO:0001741	NA	NA	NA
OG0000008	GO:0003677	GO:0000786	GO:0046982	GO:0030527	GO:0005634	GO:0005694	GO:0006334	GO:0042742	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG0000009	GO:0005524	GO:0005515	GO:0051015	GO:0003774	GO:0016459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG0000012	GO:0005200	GO:0005882	GO:0007010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG0000016	GO:0007017	GO:0005874	GO:0005525	GO:0005200	GO:0005634	GO:0015630	GO:0005881	GO:0000166	GO:0005737	GO:0016787	GO:0000226	GO:0000278	GO:0005856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG0000018	GO:0003677	GO:0000786	GO:0046982	GO:0030527	GO:0005634	GO:0005694	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG0000023	GO:0007017	GO:0005874	GO:0003924	GO:0005525	GO:0005200	GO:0015630	GO:0045171	GO:0072686	GO:0003725	GO:0046872	GO:0000166	GO:0005737	GO:0000226	GO:0000278	GO:0005856	GO:0005509	GO:0031115	GO:1990890	GO:0007411	GO:0038007	GO:1990791	GO:0030027	GO:0030175	GO:0030424	GO:0030425	GO:0030426	GO:0043025	GO:0071944
OG0000041	GO:0005515	GO:0016791	GO:0004725	GO:0006470	GO:0016311	GO:0016020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG0000048	GO:0016021	GO:0016787	GO:0052689	GO:0016020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG0000068	GO:0004348	GO:0006665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG0000097	GO:0004497	GO:0020037	GO:0005506	GO:0016705	GO:0016712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG0000113	GO:0003682	GO:0010468	GO:0061780	GO:0005634	GO:0007049	GO:0009790	GO:0007420	GO:1990414	GO:0003007	GO:0034087	GO:0048565	GO:0048703	GO:0071169	GO:0090694	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG0000013	GO:0003677	GO:0000786	GO:0006334	GO:0030527	GO:0005634	GO:0005694	GO:0003690	GO:0031492	GO:0030261	GO:0045910	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
